SquareFeet,Bedrooms,Bathrooms,Age,LocationScore,Price
4650,1,1,14,2,849354.7103188941
1672,5,1,22,4,614102.3728013323
2052,2,3,43,2,507829.6709245122
2114,1,1,25,3,521193.1114702327
3698,2,4,3,4,904797.9548650255
877,3,1,25,3,382296.3551680261
3421,5,4,39,4,919025.612456606
1400,4,2,8,5,611744.2306022618
1865,2,2,4,2,484956.80807425245
2936,3,2,31,1,609497.0521604541
3249,4,2,19,4,837030.4207521571
3143,4,1,49,4,788888.2217644558
2663,2,3,10,3,687496.4202742325
2118,1,1,14,5,608941.9708187943
4397,2,4,31,3,972827.8487501834
4562,3,1,27,3,939271.6296646697
2990,4,1,21,5,839630.8610699852
1792,2,4,40,1,443524.28349634155
3512,1,2,16,3,764800.3886705817
2992,2,2,25,3,707392.027567776
2048,5,2,43,4,673472.9206763138
3854,1,3,6,5,941960.5245806734
4833,3,4,41,2,984032.9550010946
2797,4,4,25,1,656823.6990320884
4487,2,1,24,1,803473.8093706591
2951,1,3,9,5,792639.1126548629
4818,5,2,44,4,1083696.921085116
3910,1,3,18,4,874159.1894883509
2770,5,4,10,5,893477.5794857158
997,3,4,12,4,536339.2511822927
3426,4,1,7,1,706155.1862138987
2002,3,1,39,1,436746.1894430558
2835,2,4,3,2,682144.3741164199
1277,1,2,46,5,486164.19002283795
2054,5,2,30,3,616231.4947934942
1722,5,3,27,3,615583.0401830071
1219,1,4,10,2,416211.0029227768
3004,1,4,42,2,646191.705723611
3397,2,2,0,4,804011.357141972
1920,3,2,48,2,471262.7627535874
3868,5,4,46,2,875415.1387542271
1750,2,1,37,3,446511.06560767745
3136,3,4,23,4,839589.561144661
3043,2,4,46,2,670077.6923344152
3445,5,2,30,2,836396.394543921
2657,1,2,40,4,684168.7437592417
2665,1,1,45,5,670028.2639612872
3712,3,1,49,4,829204.9449620303
3653,4,3,25,3,876883.7227100305
4028,3,4,48,5,1003747.5891487706
4519,4,2,49,1,835279.5641384597
4028,2,1,4,4,871404.3680196797
3171,2,3,19,3,736319.4779166842
3691,5,3,40,5,976391.063747608
4556,4,2,10,4,1046853.103857614
894,5,2,32,2,419146.57182475773
3474,1,3,49,4,763104.5370745204
2755,4,1,37,1,554507.8420554668
1593,3,3,26,4,584820.2129295322
2634,1,4,33,5,721677.0559055215
2916,1,4,14,5,765122.6820341705
4906,3,2,31,4,1048075.9561893907
4125,1,1,20,5,928647.6353232801
3719,4,1,45,2,769019.1430181809
3397,5,4,4,4,925682.2742072627
4005,1,3,5,2,812359.5665178114
1614,4,2,37,2,475541.25856398826
1145,2,3,21,3,419529.2933208975
3149,4,3,17,4,828629.7898451436
1162,5,3,13,5,623119.1985752073
3243,4,1,9,2,740275.1781206476
3065,3,4,45,3,749270.8970895023
2988,5,1,12,4,794272.7727721994
3805,2,4,30,4,890027.452567965
4081,3,2,29,1,756494.0243033572
1784,4,2,2,1,499277.14995828085
2439,5,3,29,2,677282.8656172035
1627,2,4,5,1,433938.0180193684
3530,3,4,28,2,779711.0849002337
4331,2,4,7,5,1044586.6016806519
3735,4,3,43,2,830042.6395164123
4676,2,3,44,1,849676.6307554977
926,1,2,42,5,422516.2450610116
3977,3,1,43,1,712016.1528637587
3856,2,4,32,2,809951.5719396216
1403,4,4,16,3,582081.1406021562
4249,4,1,47,4,942510.3769294701
4946,2,4,10,1,948565.8153122443
4333,4,3,12,2,936781.2346615047
4167,5,3,49,5,1029883.619940771
4168,5,4,10,1,895004.784416098
4597,5,3,30,1,945899.1987351655
2592,1,3,27,4,674186.4228466763
3661,2,4,43,2,768414.1987790049
4276,1,2,5,3,867769.5095908262
4217,4,1,40,5,1005102.6189790214
2445,1,3,15,2,580720.5411799967
2005,4,2,3,5,700456.1874394905
3830,4,3,34,1,804527.372805229
3672,3,3,47,4,855336.4374242219
3872,5,1,25,4,917069.9476123344
2654,4,3,11,3,714704.4532377957
4821,3,1,10,4,1009583.9717036786
3508,5,1,36,1,735273.1357062731
4302,4,1,24,3,896832.8268249248
2132,4,2,17,2,560373.3425310135
1001,1,4,18,4,428016.179863822
4307,1,2,22,3,868758.9546081366
1374,5,4,37,1,458845.19309592195
1336,4,4,17,5,625499.5568022046
2425,2,1,25,5,666111.3345799414
2922,1,3,5,1,589716.4936984504
1185,5,1,3,1,419715.5479531986
4081,4,3,43,5,989891.7210243727
1274,4,4,28,3,524845.3748230422
1217,2,1,33,5,479271.2697081367
4400,5,3,16,1,920715.9411415663
1754,4,2,42,4,606649.170559741
2005,1,3,42,2,486542.48700589174
4920,2,1,15,4,1014813.7927267528
2790,5,2,1,4,812357.9845553389
4372,2,3,33,1,818190.0223820468
4958,1,3,7,5,1090818.2027704208
3513,5,3,12,3,874065.8342177725
3003,2,3,41,4,740984.9719117192
3920,3,3,7,5,988181.4002961126
1766,1,2,29,3,466999.61950627074
4232,1,4,31,4,915561.8175951503
1488,1,2,35,3,413371.86169253185
4501,3,2,46,5,991145.9334324443
1141,3,2,29,2,374890.7596166928
2524,4,4,0,5,827991.9376020619
2592,2,1,42,1,496408.18726762175
2559,4,4,38,3,710554.2169634665
4012,2,2,16,2,812320.7062312884
1789,3,3,19,3,533822.4367984292
3062,3,3,23,3,760124.6337633254
3282,4,2,49,4,821461.9796838757
1751,5,3,21,1,500742.0598774772
1522,4,2,28,3,527602.8731434249
4189,2,3,21,5,973502.526438862
2879,4,4,43,5,837315.055651225
3517,1,1,8,4,773582.5238956755
3132,2,1,36,1,569903.4032119813
4176,2,4,9,1,828657.7421558055
2300,5,4,35,5,780144.0658058774
1085,3,2,36,2,371784.80459578097
4295,2,2,27,4,915489.5416266616
2865,3,2,27,4,737751.514068033
1568,4,3,41,5,627239.421288711
3857,1,2,42,5,871876.604548162
2961,5,4,20,2,763887.5154589883
4093,3,1,23,2,813898.2719931866
1746,2,3,41,1,437475.7687207424
4135,3,2,39,4,904607.3999516782
4950,2,3,1,4,1082813.404456301
2281,3,3,7,5,756878.3663943994
2701,2,2,47,1,546363.6213912334
4251,4,3,26,4,992612.1365940275
4864,2,1,21,1,863675.5443000554
854,2,4,36,1,324641.31476569385
2623,1,4,26,5,718105.3761210749
4262,2,1,28,1,759748.1360943053
3879,1,3,2,2,792886.6335176242
1632,5,2,43,2,521364.80636268
3606,1,3,12,3,798596.5145406134
3290,4,1,44,5,827979.3136223463
1127,1,3,9,3,419395.38441922644
4110,5,4,35,2,909285.1528385556
4100,4,3,8,3,935353.165116497
4475,3,1,26,5,1027933.3433783517
3854,3,4,33,5,946523.8530610474
2943,1,3,0,1,639581.7128360156
2111,1,3,31,4,607073.4453527693
3991,5,4,24,1,883012.9250590554
3338,5,2,28,5,901755.9073196212
4783,2,4,6,2,971200.8892138134
964,5,2,48,2,376102.7227821293
1622,2,1,2,1,396430.063893998
1743,4,1,19,5,642854.8227146473
1574,1,4,19,2,473540.9459267209
2998,4,4,29,5,851092.6477479632
3956,5,1,34,2,836917.410945221
4495,4,2,34,5,1048980.511696512
4252,4,1,48,3,871863.1619671127
1714,4,4,38,5,674970.238626376
2108,5,1,26,5,697340.1450238609
4977,4,4,25,1,985619.1447323447
1313,2,4,13,3,484170.75942132185
2720,5,1,16,4,753159.9224142049
4394,4,2,17,1,872994.3252177917
2209,5,3,44,4,693115.8563214797
3990,3,1,28,2,797922.13176582
2355,2,3,19,4,657323.0756747948
1604,4,1,26,5,612392.8700617444
2079,3,3,17,4,678654.2590273842
4377,3,2,3,1,861648.308492587
3701,5,2,0,1,826091.7732236669
2187,3,1,49,4,581196.6711226981
3561,2,4,0,1,753516.4215894066
3479,2,3,25,1,679389.475215434
2906,1,4,44,4,696746.1260870214
3568,2,4,19,3,812109.4288881144
4753,3,4,22,3,1040828.4900162036
3986,2,2,9,2,829150.2374300447
4080,5,1,10,1,843645.0708308159
3373,1,1,40,4,715959.4916016511
3399,3,2,40,1,672905.790229181
4833,1,2,4,5,1061475.500133526
1036,3,1,0,1,346033.043443679
2104,5,4,16,1,563943.0962477889
4230,1,3,21,3,864145.232279702
2101,4,3,33,4,665188.8335377693
3341,3,3,44,1,689194.3636427579
2851,4,4,40,3,711708.0826835008
1241,1,1,28,2,338718.1403678021
2876,4,2,3,3,751545.7315481843
3980,4,1,4,3,908744.1798277432
3457,1,4,10,3,800942.8637635616
4598,5,2,20,1,934438.569782132
1604,4,4,34,1,461600.89239947096
874,4,3,11,2,385479.9679431504
2975,5,3,25,5,869354.2086440789
4724,4,4,18,5,1152624.4773781283
2889,4,2,44,5,821251.8179128665
840,4,2,6,2,406658.2365344668
2881,2,1,46,5,735590.112342026
2422,5,3,6,5,816994.5947257895
1141,4,1,25,3,440808.21879858826
4852,5,1,39,1,924849.0955966957
2874,3,4,4,1,694136.042887395
1445,3,4,20,3,514611.62991312187
1409,4,1,13,3,525571.6818606477
1254,5,3,3,3,544269.5776826191
3753,5,4,22,1,852831.4816364262
2508,5,1,41,5,732097.7748575369
4272,2,1,19,3,883588.5630174697
3769,3,1,14,2,773298.4479607857
3828,5,1,49,3,831970.9921211372
3481,5,1,44,4,854428.0106361642
4429,2,1,28,3,904492.0768289395
3867,2,4,7,1,777375.8784210975
2186,5,3,40,3,629414.760593124
4576,1,1,47,4,911022.3285349756
3666,5,2,18,2,831588.4700683423
4163,5,4,47,5,1057674.7944133175
4924,2,4,38,3,1021843.9185704673
948,2,1,45,4,394308.7722809126
4650,5,4,27,4,1125332.5497219139
2858,5,1,45,2,670063.5211680294
1936,5,3,26,1,533203.6024098966
986,2,3,3,3,409726.4896134576
3654,5,4,14,4,957160.1071952574
2050,5,4,34,2,605454.195818833
2133,4,2,36,5,709354.5719442221
4993,1,4,0,4,1082887.2543610027
4950,3,2,2,2,973809.4631755108
3511,1,3,46,1,657233.8157961656
2585,4,3,23,1,623822.9675759358
1550,3,1,26,4,552420.4703908175
2562,5,3,39,4,767612.5595112109
4720,4,2,35,3,1005412.6998146721
1281,5,4,33,2,497051.2899192275
953,2,1,28,4,418774.6800813517
